问题名称,复现步骤,预期结果,类型,优先级,状态,创建人,创建日期,指派研发,附件
"【管理后台-钱包管理/权限】高危操作的 confirm_token 二次确认机制被整体移除,且充值订单人工审核入口消失(需研发/产品确认是否有意)","对比 09-19 与 09-21 管理后台:POST /confirmations/prepare 现返回404(15/15);充值订单页(DepositOrderView)变只读无审核按钮,/deposits/{id}/manual-approve 返404,无 deposit-orders/manual-review 路由;提现审核(WithdrawOrderManualReviewView)改为仅用 remark 无 confirm_token;人工加扣款/VIP配置等原需 confirm_token 现仅凭权限+remark 执行",高危资金/安全操作(充提审核、人工加扣款、VIP配置)应保留二次确认/step-up(或有等效替代);移除充值人工审核入口需评估对卡单处置的影响,安全/权限/变更确认,低 - P3,待处理,Smith,2026-09-21,后端,"【证据·2026-09-21】/confirmations/prepare 连续15次均404(payment-channels/list同token 200,证token有效);admin bundle 无任何 confirmation 引用;DepositOrderView-DgcuqDJU.js 仅10KB且无approve/审核逻辑;menu 无 deposit manual-review 路由(仅 withdraw-orders/manual-review);WithdrawReview 与 wallet adjust 均改为仅 remark。→ confirm_token step-up 被整体移除+充值人工审核入口消失,若无替代控制则弱化高危操作防护;疑为重构(confirm_token此前已被测出失效),需确认是否刻意及是否补了替代控制
"
"【前端H5-提现/收款人】提现弹窗收款人卡片渠道名重复显示:每个收款人显示""GCASH""""GCASH""两次(账号下方连续两行GCASH)","前端H5 账户中心→Withdraw 打开提现弹窗,查看""Please select account""下的收款人卡片","收款人卡片渠道/钱包类型名称应只显示一次(如 GCASH),不应重复两次",前端/UI/展示,低 - P3,待处理,Smith,2026-09-21,前端,"【证据·2026-09-21】提现弹窗收款人卡片文本为""•••••••2233 / GCASH / GCASH""、""•••••••0002 / GCASH / GCASH""——账号下方""GCASH""连续渲染两次(疑 transfer_code 与 pay_method 标签均映射为GCASH各渲染一次)。多个收款人均复现
"
"【前端H5/接口-资金密码】资金(提现)密码修改接口连续输错3次当前密码后触发限流，却以 HTTP 500(内层code 10332)返回，而非友好的""尝试次数过多""提示","账户中心→Withdraw Password→Change 页，连续多次用错误的""当前密码""提交修改；或直接 POST /api/v1/bff/wallet/withdraw-password/change 传错误 old_password。前3次返回 HTTP200 业务code=10316(当前密码错误)，第4次起返回 HTTP 500 reason=BFFService、内层 code=10332，持续数秒后自行恢复","触发限流时应返回 HTTP200+友好业务提示(如""尝试次数过多，请稍后再试"")并让前端展示明确文案，不应向前端抛 HTTP 500 通用错误；同时应考虑对资金密码修改加持久化的失败锁定/递增冷却",安全·错误处理·接口,中 - P2,待处理,Smith,2026-09-21,后端,"快速连打 POST /wallet/withdraw-password/change 40次，返回码直方图约 {10316:2~3, 500:37~38}；第4次起 HTTP500 body 内层 {""base"":{""message"":""BFFService"",""code"":10332}}；限流窗口极短(数秒)自行恢复，恢复后用正确当前密码(123456)仍立即可用(返10357""新旧密码不能相同"")→无持久锁定、仅短时限流且以500暴露，配合会话token可分批暴力尝试"
"【前端H5/接口-资金密码】资金(提现)密码允许设置弱口令""123456""等连续/常见密码，无复杂度或黑名单校验","账户中心→Withdraw Password→Set(first time)，新密码与确认密码均填""123456""→点击 Set withdraw password",资金密码用于保护提现资金，应拒绝纯连续/常见弱口令(如123456/000000/111111)或至少弱口令提示；规则不应只校验长度与字符集,安全·校验,低 - P3,待处理,Smith,2026-09-21,后端,"新密码=确认=""123456"" 提交后提示""Withdraw password set.""设置成功；页面规则仅注明""6–12位字母或数字""，无复杂度/黑名单；结合修改接口仅短时限流(见资金密码限流500条)，持有会话token时资金密码可被暴力尝试"
【充值/网关】测试环境充值无法完成到账：网关侧建单已恢复，但支付完成/回调不通——EzPay模拟还款返200却订单不翻转、PH02不到账，充值全链路阻断,1) PH02前端发起充值，建单成功(例:订单2101890458045669376 ₱500 PH_GRABPAY_URL，status=1处理中；QRPH亦可建单)；2) 进EzPay商户后台 gateway-dev.ezpaytechs.com「开发者→模拟动态订单还款」，输入用户唯一标识Id=2100558999422644224、交易状态=支付成功，提交,模拟支付成功后：网关订单应翻转为已支付并回调PH02，会员应到账(deposit_count+1、principal_balance增加、生成到账账变 tx_type=1000)；据此才能继续投注→提现全链路,充值·网关·资金,中 - P2,待处理,Smith,2026-09-21,后端,"POST /merchant-api/simulation/payment/dynamic 返回HTTP200，但EzPay收款交易列表29笔全部仍""未支付""、完成时间空、笔数/金额汇总不变；PH02侧 user/info 该号 deposit_count=0、principal_balance未变(₱1000)；工具页自注""如未收到回调请联系技术支持人员""。→ 建单虽恢复(此前全渠道10408/10407已缓解)，但支付完成/回调环节仍不通，充值到账链路阻断，无法验证充值→投注→提现数据联动；需研发/运维定位是EzPay测试网关侧还是PH02回调处理侧"
【报表-用户日报/平台日报】用户日报与平台日报严重对不上：用户日报缺整日明细、充值列恒0、注册/投注数与平台日报不一致，无法对账,"管理后台报表管理用相同时区(Asia/Manila)与日期分别查""平台日报""与""用户日报""；或 GET /api/v1/admin/reports/platform-daily 与 /reports/user-daily(stat_date_start/end 传毫秒时间戳、timezone=Asia/Manila)对同一天核对",平台日报应为用户日报的汇总，两者需对得上：平台注册数=用户日报行数、平台充值/投注=Σ用户日报、每个有注册或活动的自然日用户日报都应有对应明细行,报表·数据一致性·资金,高 - P1,待处理,Smith,2026-09-21,后端,"09-18:平台日报 register=14、充值₱13,600、首充4，但用户日报该日 total=0(完全无明细行);09-17:平台日报 register=33/充值₱5,500/投注₱174.70，用户日报仅25行、25行中充值>0的用户数=0(Σ充值₱0)、Σ投注₱63.90(约平台的1/2.7);各有充值日 Σ用户日报充值≈0 与平台日报充值(09-17₱5500/09-18₱13600/09-19₱1000)对不上;平台日报数值与后台首页""近7日趋势""完全一致(佐证平台侧正确)→用户日报明细缺失且未落充值金额，平台总量与用户明细无法对账"
【报表-平台日报】平台日报缺失多个自然日(09-09~09-16连续8天、09-20)，而相邻零活跃日(09-07/09-08)却生成了全零行,GET /api/v1/admin/reports/platform-daily，stat_date_start/end(毫秒时间戳)覆盖 09-01~09-23、timezone=Asia/Manila,日报应为每个自然日生成一行(含零活跃日，如09-07/09-08已有全零行)，不应整段缺失，否则经营趋势/对账断档,报表·数据完整性,中 - P2,待处理,Smith,2026-09-21,后端,"平台日报实际存在日期仅 09-07,09-08,09-17,09-18,09-19,09-21;缺失 09-09~09-16(连续8天)与09-20;09-07/09-08均为全零行(register/充值/投注全0)，说明系统会为零活跃日生成行→缺失日疑为日报生成job未运行/漏跑，非""无活动不生成"""
【充值-下单】充值下单未校验金额精度：接受亚分/超2位小数金额(₱1.234567成功建单)，与货币最小单位(₱0.01)不符,"POST /api/v1/bff/wallet/deposit，body {amount:""1234567""(微单位=₱1.234567), channel_code:""PH_GRABPAY_URL"", idempotency_key:""任意8-40位""}",充值金额应校验为2位小数(微单位须为10000整数倍)，拒绝亚分金额，否则产生无法用真实货币表示的充值订单/到账金额,充值·校验·金额精度,中 - P2,待处理,Smith,2026-09-21,后端,amount=1234567(₱1.234567)→ base.code=0 成功建单 order_id=2101940400349011968、order_amt=1234567(原样落单);对照:over-max ₱10000.000001→code=10405拒绝、₱0.01(10000微)→10411拒绝、₱0.009999(9999微)→10407拒绝——min/max均有校验，唯独2位小数精度无校验;与提现/人工加款金额精度问题同类(系统性精度校验缺失)
【充值-到账/回调】充值无法到账(核心资金入口断)：成功到账在09-19后完全停止，09-21建单订单卡处理中、回调从未到达；PH02回调端点存活→根因在EzPay回调未送达+建单间歇时间戳过期,"1)管理后台充值订单(GET /deposit-orders 近30天):status分布 成功16/处理中4/失败94，16笔成功全部集中09-17~09-19、最后成功09-19 11:36；2)09-21新建订单(2101890458045669376等4笔)status=1处理中、callback_message为空；3)部分建单直接失败 failed_message=EzPay""21009 Request timestamp expired""(10408)；4)直接POST PH02回调端点 /api/v1/wallet/ezpay/callback 传junk→返{""code"":21002}(端点存活非404)",支付完成后EzPay应回调 /wallet/ezpay/callback，PH02据此置订单成功并到账；建单请求时间戳应在EzPay接受窗口内(不应间歇性21009过期);核心资金入口必须可用,充值·到账·回调·资金,高 - P1,待处理,Smith,2026-09-21,后端,"成功到账仅09-17 12:41~09-19 11:36(16笔GRABPAY,completed_at≈created_at约1分钟),之后归零;09-21 4笔status=1订单callback_message全空(回调从未到达);建单间歇失败EzPay""21009 Request timestamp expired""(09-21 09:52/10:12多笔)与偶尔建单成功(12:24/15:43)并存→PH02→EzPay出站请求时间戳过期/时钟漂移;回调端点POST junk返21002证端点存活;停止到账时点与09-19→09-21充值模块重构(DepositOrderView转只读、manual-approve移除)吻合→疑重构影响完成/回调链路;需EzPay联调+核对PH02出站请求时间戳与签名"
【充值-支付渠道配置】PH_GRABPAY_URL 渠道 redirect_url 配置为 https://www.baidu.com，用户支付后跳到百度而非返回H5,管理后台支付渠道，或 GET /api/v1/admin/payment-channels/list 查 PH_GRABPAY_URL 的 redirect_url 字段,支付完成后 redirect_url 应跳回本站H5(如QRPH的 https://slot.haoyunlai888vip.com/h5ph02)，不应是 www.baidu.com,充值·渠道配置,中 - P2,待处理,Smith,2026-09-21,后端,PH_GRABPAY_URL redirect_url=https://www.baidu.com;对照 PH_QRPH_DYNAMIC redirect=https://slot.haoyunlai888vip.com/h5ph02(正确)→GRABPAY跳转URL疑测试残留/配错，影响支付完成回跳
【充值-支付渠道配置】PH_MOCKPAY_URL 渠道 callback_api_base_url 为空，MOCKPAY充值无回调地址无法确认到账,GET /api/v1/admin/payment-channels/list 查 PH_MOCKPAY_URL 的 callback_api_base_url 与 redirect_url,每个启用渠道都应配置有效回调地址；MOCKPAY应有 callback_api_base_url(如其他渠道 /api/v1/wallet/ezpay/callback)，否则该渠道充值无法回调到账,充值·渠道配置,中 - P2,待处理,Smith,2026-09-21,后端,"PH_MOCKPAY_URL callback_api_base_url="""" 且 redirect_url=""""(均空);对照GRABPAY/QRPH均有callback_base;MOCKPAY建单常返 WALLET 错误(10407)→MOCKPAY渠道配置不完整，走该渠道充值无法回调到账"
"【充值-订单/统计】存在金额约₱1万亿的异常充值订单(远超渠道上限₱10,000)，污染管理后台""下单总额""统计",管理后台充值订单页，或 GET /api/v1/admin/deposit-orders(近30天)查 records 与 stats；按 amount 排序即见异常单,"充值订单金额应受渠道 max(₱10,000)约束，PH02建单时就应拒绝超限金额；stats.deposit_order_amount 应为合理值，不应被单笔异常单主导",充值·订单·统计·数据完整性,中 - P2,待处理,Smith,2026-09-21,后端,"订单id=2100549492588027904 amount=999999999900000000微=₱999,999,999,900(≈₱1万亿) status=3 09-17 19:36 GRABPAY user=2100549490788683776 failed_message=EzPay""21005 Merchant channel is unavailable""→说明PH02建单时未校验max、以₱1万亿入库并转发EzPay(被EzPay拒),仅因EzPay拒而失败非PH02拦截;致 deposit-orders stats.deposit_order_amount=₱1,000,000,071,948(被该单主导，下单总额失真);对照当前create over-max(₱10000.000001)→10405拒绝→max校验疑后期才加/该单经无校验路径,异常金额单仍留库并计入统计"
【管理后台-会员中心-会员列表】会员累计投注额(bet_amount)/输赢(player_win_loss)丢失部分下注/派彩事件而永久少记，导致可提额度偏低(合法提现被 10327 误拒)、标签评定漏标,任一会员连续 PG 下注约 40 次(单线程顺序下注即可复现)，约 3 分钟后对同一会员比对：POST /api/v1/admin/members/list 的 bet_amount/player_win_loss/withdrawable_amount 与 GET /api/v1/admin/wallet-transactions(tx_type 3001 下注/3003 派彩)合计、GET /api/v1/admin/game-records 注单合计；再用该会员发起不超过真实流水的提现 POST /api/v1/bff/wallet/withdraw,"会员累计投注额/输赢应等于账变与注单合计(不丢更新)；可提额度=min(余额, 累计有效投注−已提现)应按真实流水计算，不应误拒合法提现",数据一致性/资金/统计,高 - P1,待处理,Smith,2026-09-24,后端,"user_id=2103033837949501440(639775039026)：注单与账变均为 109 次下注×₱90=₱9,810、派彩₱18,972(输赢+₱9,162)；会员列表 bet_amount=₱8,550(少记14次共₱1,260)、player_win_loss=+₱9,756；withdrawable_amount 与 GET /bff/user/withdrawable-balance 均=₱8,550；余额₱11,162 时提现₱8,920 返 code=10327(可提额度不足)，按真实流水₱9,810 应可提 | user_id=2103033819872059392(639876207463)：账变投注₱12,690(141次)/会员列表₱10,890，输赢账变−₱234/会员列表+₱183 | user_id=2103035625054363648(639308586536)：账变投注₱33.75(25次×₱1.35)/会员列表₱24.3(少7次) | 批量：306 个有投注会员中 93 个 bet_amount 少于账变合计(无一多记)，合计少记₱34,505(占₱278,850 的12.4%)；1 小时后复查数值不变(非延迟，永久丢失)；同时段 平台/用户/代理日报 有效投注=注单合计(₱280,467)一致，仅会员累计统计丢更新；丢失集中在多号并发高频下注时段，低负载时段下注的会员无差异；会员标签评定同样按该少记值计算：规则「累计投注≥₱10,000」(id=1206204097474199553)未给 user_id=2103034823518674944(639719946450，账变投注₱10,548/会员列表₱9,738)、2103035140868104192(639780242739，₱11,124/₱9,648)、2103035311953764352(639534325435，₱10,260/₱9,090) 打标，按标签筛选会员列表(advanced.tag_ids)查不到这 3 人；复现：30 个会员(此前统计无差异)8 线程各下注 40 次，150 秒后 29 个会员 bet_amount 增量小于账变下注增量(如 user_id=2103035298662014976(639509046687) 账变 +₱47.25/会员列表 +₱40.5，2103034694673850368(639594512981) +₱32.4/+₱24.3)；改为单线程逐个会员顺序下注 10 人×40 次，同样 9 人少记(如 2103035084421160960(639068323517) +₱33.75/+₱28.35) → 与并发度无关，每个会员约丢 5%~15% 下注事件且持续发生；同期充值统计无差异(357 个会员 deposit_amount=充值账变合计，含丢数期间到账的 41 笔)，仅游戏下注/派彩统计链路丢更新；同一会员同日对照：GET /api/v1/admin/reports/user-daily(user_id=)的 valid_bet_amount 与账变下注合计一致而会员列表少记(抽查 10 个会员 10/10，如 2103033837949501440 用户日报₱9,810/账变₱9,810/会员列表₱8,550，2103033676795957248 ₱3,330/₱3,330/₱2,754)→ 报表统计链路正常，仅会员累计统计(bet_amount/player_win_loss)的更新丢失；截至当晚复测仍在发生(单会员顺序下注 40 次，3/3 少记，如 2103033950432346112(639448174915) 账变 +₱54.0/会员列表 +₱40.5)"
【前端H5/接口-登录注册】手机号登录/注册接口触发频率限制时返回 HTTP 500(内层 code 10332)，而非业务提示,同一 IP 短时间内连续调用 POST /api/v1/bff/auth/phone-login(新手机号即注册)，约每分钟 30+ 次后触发限制,"触发频率限制应返回 HTTP200+业务码(或 429)与可读提示(如""请求过于频繁，请稍后再试"")，前端展示明确文案；不应以 HTTP500 通用服务错误暴露",接口规范/错误处理,中 - P2,待处理,Smith,2026-09-24,后端,"POST /api/v1/bff/auth/phone-login 连续 15 次(新手机号)全部返回 HTTP 500 body={""code"":500,""reason"":""BFFService"",""message"":""{\""base\"":{\""message\"":\""BFFService\"",\""code\"":10332}}""}；间隔 1 秒串行 40 次中 2 次 500、其余成功；等待约 60 秒后恢复；已存在账号登录同样受限(返回同样 500)；充值建单接口同样如此：user_id=2103033815770025984(639868352248) 每 0.5 秒 POST /api/v1/bff/wallet/deposit，前 15 次 code=0，第 16 次起返回 HTTP 500 内层 code=10332，约 60 秒后恢复"
【管理后台-会员中心-会员列表】首存时间(first_deposit_at)取的是首笔充值订单的创建时间，而非到账(完成)时间,会员创建充值单后隔一段时间才支付到账；查 POST /api/v1/admin/members/list 的 first_deposit_at，对比 GET /api/v1/admin/deposit-orders 该单 created_at 与 completed_at,首存时间应为首笔充值成功到账时间(completed_at)；未支付/失败的订单创建时间不应作为首存时间,数据口径,低 - P3,待处理,Smith,2026-09-24,后端,user_id=2103033673549570048(639231642002)：首笔充值 order_id=2103035672827289600 created_at=1790237751573、completed_at=1790238204817(相差约7.5分钟)；会员列表 first_deposit_at=1790237751573(=创建时间)；批量 255 个有成功充值的会员 first_deposit_at 全部等于订单创建时间、无一等于到账时间
"【管理后台-会员中心-VIP】累计充值恰好等于 VIP2 充值门槛(₱1,000)且投注已达标的会员不升级 VIP2，充值超过门槛才升级","VIP 配置 VIP2 required_deposit=₱1,000、required_bet=₱2,000(GET /api/v1/admin/vip-configs/list)；会员累计成功充值恰好 ₱1,000(一笔₱1,000 或两笔₱500)，再 PG 下注使累计投注 ≥ ₱2,000；查 POST /api/v1/admin/members/list 的 vip_level 与 GET /api/v1/bff/vip/upgrade-rewards/list","累计充值 ≥ ₱1,000 且累计投注 ≥ ₱2,000 即应升级 VIP2 并生成 VIP2 晋级奖励(₱188)；门槛值本身应满足条件(≥)，与 VIP1 门槛(充值恰好₱100 即升 VIP1)口径一致",业务规则/边界值,中 - P2,待处理,Smith,2026-09-24,后端,"user_id=2103033819872059392(639876207463)：仅一笔充值 order_id=2103035687129866240 ₱1,000，会员列表 deposit_amount=₱1,000/deposit_count=1/bet_amount=₱10,890/无提现，vip_level=1，upgrade-rewards/list 为空 | user_id=2103033946384846848(639497432277)：一笔₱1,000(order_id=2103035765030674432)，bet_amount=₱6,390，vip_level=1 | user_id=2103034896369541120(639799977809)：一笔₱1,000(order_id=2103035948728610816)，bet_amount=₱4,860，vip_level=1 | user_id=2103033841963458560(639238108790)：两笔₱500 共₱1,000，bet_amount=₱2,988，vip_level=1 | 对照：user_id=2103033837949501440(639775039026) 一笔₱2,000、bet_amount=₱8,550 → vip_level=2 且有 VIP2 晋级奖励；批量：累计充值恰好₱1,000 且会员列表投注≥₱2,000 的 13 个会员全部停在 VIP1，累计充值₱1,500/₱2,000/₱2,500 且投注达标的 31 个会员全部为 VIP2；累计充值恰好₱100/₱200/₱300 的 19/22/26 个会员均正常为 VIP1"
"【充值-到账/回调】充值单被""超时3小时未支付""关闭后用户才完成支付，网关已收款，但平台不入账、不记录回调，订单仍为关闭状态，且后台无补单入口→用户资金丢失",会员建充值单 POST /api/v1/bff/wallet/deposit(PH_GRABPAY_URL)后不支付；约 3 小时 18 分后订单被自动关闭(status=3，remark=超时3小时未支付)；此后用户在网关完成支付(EzPay 支付成功并回调平台)；查 GET /api/v1/admin/deposit-orders 该单、会员余额 GET /api/v1/bff/user/balance、账变 GET /api/v1/admin/wallet-transactions,"网关确认已收款的充值必须可追溯并最终到账：超时关闭后收到成功回调应入账(或转为""待人工确认""异常单并告警)，至少落库回调内容；后台应提供异常充值查询/补单入口；订单超时时长应与网关侧支付有效期一致，避免关闭后仍可支付",资金/回调/订单状态机,高 - P1,待处理,Smith,2026-09-24,后端,user_id=2103033816336252928(639158629534)，order_id=2103035685305348096 金额₱500：建单 16:15:54，19:34:10 平台关单 status=3 remark=超时3小时未支付；19:36:44 用户在 EzPay 完成支付，EzPay 收款记录 transaction_id=CU5U3035686838996992 transaction_status=2(成功) real_transaction_amount=₱500；平台该单仍为 status=3、callback_message 为空(未记录回调)、会员余额 0、无任何账变、会员列表 deposit_amount=0；后台接口仅有 GET /deposit-orders 查询，无补单/人工确认到账/回调日志入口 → 商户已收₱500 而会员未到账且平台侧无痕迹；对照：未超时订单的成功回调均正常入账(358/358)，已到账订单重放签名回调幂等不重复入账
